comuna	lat	lon
1	-34.606332732647	-58.3716954846194
2	-34.5858361234233	-58.3949625391149
3	-34.6138233554784	-58.4026849804738
4	-34.6422444508446	-58.3888254965227
5	-34.617348464977	-58.4206056191515
6	-34.6168233485134	-58.4436033395966
7	-34.6365411127168	-58.4519195471597
8	-34.6744516462911	-58.4621869069053
9	-34.6517213342794	-58.4990949365791
10	-34.6278192589181	-58.5028726325052
11	-34.6060971357711	-58.4968764743643
12	-34.5663197712064	-58.4904257581943
13	-34.5546645933355	-58.4541538262
14	-34.5739026251602	-58.422436229991
15	-34.5918646734763	-58.4628084833342
