id	provincia	poblacion_2021_est
06	Buenos Aires	17709598
14	Córdoba	3798261
02	CABA	3078836
82	Santa Fe	3563390
50	Mendoza	2010363
90	Tucumán	1714487
30	Entre Ríos	1398510
66	Salta	1441988
22	Chaco	1216247
18	Corrientes	1130320
86	Santiago del Estero	988245
54	Misiones	1274992
38	Jujuy	779212
70	San Juan	789489
62	Río Negro	757052
58	Neuquén	672461
26	Chubut	629181
34	Formosa	610019
74	San Luis	514610
42	La Pampa	361394
46	La Rioja	398648
10	Catamarca	418991
78	Santa Cruz	374756
94	Tierra del Fuego	177697
