id,type,variable,value
0,TV,2012,38584900000.0
1,TV,2012,22329900000.0
2,Radio,2012,16303500000.0
3,Newspapers,2012,24926500000.0
4,Magazines,2012,19370500000.0
5,Other,2012,6516700000.0
6,Other,2012,16257400000.0
7,Other,2012,6129000000.0
8,Pure-Play Internet,2012,28385000000.0
9,Pure-Play Internet,2012,18858000000.0
10,Pure-Play Internet,2012,9527000000.0
11,TV,2013,39577100000.0
12,TV,2013,23318600000.0
13,Radio,2013,16591300000.0
14,Newspapers,2013,23503000000.0
15,Magazines,2013,18927500000.0
16,Other,2013,6889900000.0
17,Other,2013,16814000000.0
18,Other,2013,4486000000.0
19,Pure-Play Internet,2013,32883500000.0
20,Pure-Play Internet,2013,21278900000.0
21,Pure-Play Internet,2013,11604600000.0
22,TV,2014,41064200000.0
23,TV,2014,23337500000.0
24,Radio,2014,16165600000.0
25,Newspapers,2014,21677800000.0
26,Magazines,2014,17247000000.0
27,Other,2014,6806000000.0
28,Other,2014,17327400000.0
29,Other,2014,4707000000.0
30,Pure-Play Internet,2014,38450000000.0
31,Pure-Play Internet,2014,24876600000.0
32,Pure-Play Internet,2014,13573400000.0
33,TV,2015,41313100000.0
34,TV,2015,24069000000.0
35,Radio,2015,16385700000.0
36,Newspapers,2015,20269200000.0
37,Magazines,2015,15841800000.0
38,Other,2015,7282500000.0
39,Other,2015,17479000000.0
40,Other,2015,4320000000.0
41,Pure-Play Internet,2015,46840200000.0
42,Pure-Play Internet,2015,29233800000.0
43,Pure-Play Internet,2015,17606300000.0
44,TV,2016,43416800000.0
45,TV,2016,24023300000.0
46,Radio,2016,16554800000.0
47,Newspapers,2016,17802400000.0
48,Magazines,2016,14306900000.0
49,Other,2016,7319700000.0
50,Other,2016,16864500000.0
51,Other,2016,3758000000.0
52,Pure-Play Internet,2016,57679700000.0
53,Pure-Play Internet,2016,33870300000.000008
54,Pure-Play Internet,2016,23809300000.0
55,TV,2017,41835600000.0
56,TV,2017,24450500000.0
57,Radio,2017,16712099999.999996
58,Newspapers,2017,16374600000.0
59,Magazines,2017,13101300000.0
60,Other,2017,7599100000.0
61,Other,2017,16266000000.0
62,Other,2017,3342000000.0
63,Pure-Play Internet,2017,73504300000.0
64,Pure-Play Internet,2017,40410100000.0
65,Pure-Play Internet,2017,33094200000.0
66,TV,2018,42992300000.0
67,TV,2018,21845600000.0
68,Radio,2018,15990700000.0
69,Newspapers,2018,13939500000.0
70,Magazines,2018,11805400000.0
71,Other,2018,7714400000.0
72,Other,2018,16097000000.0
73,Other,2018,2706000000.0
74,Pure-Play Internet,2018,90492100000.0
75,Pure-Play Internet,2018,47610800000.0
76,Pure-Play Internet,2018,42881300000.0
77,TV,2019,42855800000.0
78,TV,2019,22143100000.0
79,Radio,2019,16420500000.0
80,Newspapers,2019,12346600000.0
81,Magazines,2019,10798200000.0
82,Other,2019,8358799999.999998
83,Other,2019,15887600000.0
84,Other,2019,2118100000.0
85,Pure-Play Internet,2019,107888900000.0
86,Pure-Play Internet,2019,54322400000.0
87,Pure-Play Internet,2019,53566500000.0
88,TV,2020,38024800000.0
89,TV,2020,14535500000.0
90,Radio,2020,12085400000.0
91,Newspapers,2020,8257200000.000002
92,Magazines,2020,8480000000.0
93,Other,2020,6607600000.0
94,Other,2020,13401000000.0
95,Other,2020,1321400000.0
96,Pure-Play Internet,2020,105213900000.0
97,Pure-Play Internet,2020,52975500000.0
98,Pure-Play Internet,2020,52238400000.0
99,TV,2021,40138700000.0
100,TV,2021,13044100000.0
101,Radio,2021,11179500000.0
102,Newspapers,2021,6473200000.0
103,Magazines,2021,7089400000.0
104,Other,2021,7083800000.0
105,Other,2021,13074200000.0
106,Other,2021,874400000.0
107,Pure-Play Internet,2021,117660400000.0
108,Pure-Play Internet,2021,59242400000.0
109,Pure-Play Internet,2021,58418100000.0
110,TV,2022,40227300000.0
111,TV,2022,11204300000.0
112,Radio,2022,10957000000.0
113,Newspapers,2022,5551800000.0
114,Magazines,2022,6186500000.0
115,Other,2022,7296300000.0
116,Other,2022,12730200000.0
117,Other,2022,621700000.0
118,Pure-Play Internet,2022,128341100000.0
119,Pure-Play Internet,2022,63015900000.0
120,Pure-Play Internet,2022,65325300000.0
121,TV,2023,40285000000.0
122,TV,2023,11770200000.0
123,Radio,2023,10711200000.0
124,Newspapers,2023,4569300000.0
125,Magazines,2023,5223000000.0
126,Other,2023,7515200000.0
127,Other,2023,12353700000.0
128,Other,2023,353100000.0
129,Pure-Play Internet,2023,137028799999.99997
130,Pure-Play Internet,2023,65911300000.0
131,Pure-Play Internet,2023,71117600000.0
132,TV,2024,40310100000.0
133,TV,2024,11886600000.0
134,Radio,2024,10440800000.0
135,Newspapers,2024,3522900000.0
136,Magazines,2024,4196200000.0
137,Other,2024,7740700000.0
138,Other,2024,11943200000.0
139,Other,2024,67800000.0
140,Pure-Play Internet,2024,146595700000.0
141,Pure-Play Internet,2024,69047000000.0
142,Pure-Play Internet,2024,77548700000.0
