Source	Type	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
National TV	TV	38584900000	39577100000	41064200000	41313100000	43416800000	41835600000	42992300000	42855800000	38024800000	40138700000	40227300000	40285000000	40310100000
Local TV	TV	22329900000	23318600000	23337500000	24069000000	24023300000	24450500000	21845600000	22143100000	14535500000	13044100000	11204300000	11770200000	11886600000
Radio	Radio	16303500000	16591300000	16165600000	16385700000	16554800000	16712100000	15990700000	16420500000	12085400000	11179500000	10957000000	10711200000	10440800000
Newspapers	Newspapers	24926500000	23503000000	21677800000	20269200000	17802400000	16374600000	13939500000	12346600000	8257200000	6473200000	5551800000	4569300000	3522900000
Magazines	Magazines	19370500000	18927500000	17247000000	15841800000	14306900000	13101300000	11805400000	10798200000	8480000000	7089400000	6186500000	5223000000	4196200000
Out-of-Home	Other	6516700000	6889900000	6806000000	7282500000	7319700000	7599100000	7714400000	8358800000	6607600000	7083800000	7296300000	7515200000	7740700000
Direct Mail	Other	16257400000	16814000000	17327400000	17479000000	16864500000	16266000000	16097000000	15887600000	13401000000	13074200000	12730200000	12353700000	11943200000
Directories	Other	6129000000	4486000000	4707000000	4320000000	3758000000	3342000000	2706000000	2118100000	1321400000	874400000	621700000	353100000	67800000
Search	Internet	18858000000	21278900000	24876600000	29233800000	33870300000	40410100000	47610800000	54322400000	52975500000	59242400000	63015900000	65911300000	69047000000
Ex-Search	Internet	9527000000	11604600000	13573400000	17606300000	23809300000	33094200000	42881300000	53566500000	52238400000	58418100000	65325300000	71117600000	77548700000
