club,decimales
ADROGUE,0.56
ALVEAR,0.04
AMIGOS UNIDOS BALCARCE,0.62
ASOC. JAPONESA BURZACO,1.11
ASOC. JUNTOS POR EL PING PONG,0.55
ATENEO DE VERSALLES,0.05
ATLANTA,0.06
BAR PING PONG,1.3
BELGRANO DE ZARATE,0.75
CASA DE PADUA,0.07
CAVA,0.08
CEDIMA,0.1
CENTRO M&E,0.64
CENTRO TDM PATO NIZETICH,0.03
CIRCULO CAMPANO,0.65
CLUB CALABRESA - FLORES,0.87
CLUB DE VILLA GESELL,0.12
CLUB PARANA DE ZARATE,0.9
CLUB SAN MARTIN,0.82
DEF. SANTOS LUGARES,0.15
ESTACION PING PONG,0.79
FACHENZO,1.31
FENIX,0.19
FERROCARRIL OESTE,0.2
FULGOR,1.39
GIMNASTY,0.22
GTM,0.23
HEBRAICA,0.44
INGENIERO ACOSTA,0.54
INST. CIA. DE MARIA,0.24
INTENDENTE AGÃœERO,0.25
ITALIANO TDM,0.86
LA HUELLA,0.26
LA LEGION,0.27
LA PATRIADA,0.28
LA QUINTA TDM,0.84
LA REJA,0.29
LIBERTAD,0.13
MACABI,0.36
MTM,0.3
NICHIA GAKUIN,0.31
NIKKEI,0.32
NTRA. SRA. DE LOURDES,0.33
OAK TENIS DE EMSA,1.29
OBRAS SANITARIAS,0.34
OESTE,0.35
PADILLA,0.14
PERETZ,0.38
PEÃ‘AROL,0.37
RIOJA,0.39
RIVER PLATE,0.4
SAN FERNANDO,0.41
SAN LORENZO,0.42
SOCIAL CLUB,0.83
SPIN TDM,0.89
TIGRE,0.45
TMR,0.46
TOP MINC,0.47
TOP SERRANO,1.38
TORRE TANQUE TENIS DE MESA,1.28
UBA,0.6
UGAB,0.49
UNQ,0.88
URQUIZA,0.5
UVVA,0.48
VITO DUMAS,0.72
YABRUDENSE,0.8
ZENIT,0.53
