radio	programa	url	reproducciones
Metro 95.1	Metro y Medio	https://ar.radiocut.fm/audiocut/relato-de-oyente-sobre-sexo-sin-consentimiento	173646
La Red	Majul 910	https://ar.radiocut.fm/audiocut/el-audio-en-el-que-cristina-kirchner-habla-con-parrilli-sobre-stiuso-y-lo-trata-de-pelotudo	105751
AM 750	La mañana con Victor Hugo	https://ar.radiocut.fm/audiocut/vhm-enloquece-porque-un-columnista-le-dice-que-no-hubo-trampa-en-el-conteo-de-votos	76899
La Red	Majul 910	https://ar.radiocut.fm/audiocut/majul-pasa-audio-de-escuchas	70889
Nacional Córdoba	Sólo Por Hoy	https://ar.radiocut.fm/audiocut/orestes-lucero-censura-al-aire-a-trabajadores-de-radio-nacional-cordoba	55554
La Red	Majul 910	https://ar.radiocut.fm/audiocut/luis-papa-de-tripulante-del-submarino-ara-san-juan-estan-todos-muertos	51459
Con Vos	La Inmensa Minoría	https://ar.radiocut.fm/audiocut/entrevista-a-rita-segato-en-la-inmensa-minoria	43495
Nacional - AM 870	Va de vuelta	https://ar.radiocut.fm/audiocut/martin-kohan-sobre-la-cifra-de-30000-desaprecidos	41104
AM 750	La mañana con Victor Hugo	https://ar.radiocut.fm/audiocut/victor-hugo-con-roberto-navarro	39316
FM La Patriada	Big Bang	https://ar.radiocut.fm/audiocut/indio-solari-estoy-como-la-mayoria-de-la-gente	38526
