id	state	pob_2013	pob_2014	pob_2015
10	DE	908446	917060	926454
51	VA	8100653	8185131	8256630
08	CO	5119329	5197580	5278906
31	NE	1841625	1855617	1869365
28	MS	2976872	2984345	2988081
50	VT	625904	626358	626604
30	MT	998554	1006370	1014699
37	NC	9651380	9750405	9845333
26	MI	9886095	9889024	9900571
55	WI	5706871	5724692	5742117
40	OK	3785742	3818851	3849733
27	MN	5347740	5383661	5419171
02	AK	720316	728300	733375
09	CT	3583561	3592053	3593222
18	IN	6514861	6542411	6568645
48	TX	25639373	26092033	26538614
21	KY	4361333	4383272	4397353
39	OH	11549590	11560380	11575977
54	WV	1853619	1853881	1851420
11	DC	619371	633736	647484
38	ND	689781	704925	721640
22	LA	4567968	4601049	4625253
29	MO	6007182	6028076	6045448
42	PA	12731381	12758729	12779559
25	MA	6605058	6657291	6705586
20	KS	2868107	2882946	2892987
23	ME	1328320	1328535	1329100
47	TN	6402387	6451365	6499615
24	MD	5834299	5887776	5930538
72	PR	3682966	3638965	3583073
05	AR	2933369	2947036	2958208
16	ID	1583364	1599464	1616547
56	WY	570134	575251	579679
44	RI	1051695	1053252	1053661
04	AZ	6479703	6561516	6641928
46	SD	825198	834708	843190
32	NV	2730066	2761584	2798636
36	NY	19487053	19594330	19673174
19	IA	3062553	3078116	3093526
13	GA	9810417	9907756	10006693
33	NH	1319171	1321069	1324201
41	OR	3868721	3900343	3939233
49	UT	2813673	2858111	2903379
53	WA	6819579	6899123	6985464
17	IL	12848554	12868747	12873761
12	FL	19091156	19361792	19645772
06	CA	37659181	38066920	38421464
45	SC	4679602	4727273	4777576
35	NM	2069706	2080085	2084117
01	AL	4799277	4817678	4830620
15	HI	1376298	1392704	1406299
34	NJ	8832406	8874374	8904413
